	logFC	logCPM	PValue	FDR
ENSG00000160087	0.0342045352306594	5.39287361047701	0.658254894289034	0.710550853911702
ENSG00000230415	0.383787327556407	0.00806234313343255	0.0536284760128883	0.0782838580600867
ENSG00000162572	0.487140159212023	2.92564750299655	0.0137436774514335	0.0226889181960331
ENSG00000131584	0.0618021414300277	6.0922292001221	0.602863444884817	0.659923918062941
ENSG00000169972	0.623058357033328	2.87214791893593	4.19255044040119e-07	1.50561576326814e-06
ENSG00000127054	0.232947684580923	6.57482444644972	0.00398988259957911	0.00730920586749451
ENSG00000240731	0.308236658423925	2.24790402244632	0.00893132295751905	0.0153404024361833
ENSG00000224051	0.0648163876352732	4.46928402464878	0.566385304059993	0.625411662357016
ENSG00000169962	0.939245462691753	1.47260176530266	2.12914316543184e-05	5.82809061866198e-05
ENSG00000107404	0.0922530137455945	6.11332253359626	0.363499412185284	0.426314419486845
ENSG00000162576	0.00906209631588537	6.7158964258807	0.949619859549336	0.959024399682617
ENSG00000175756	0.161924935842019	5.40435213563898	0.144474937482739	0.19010657097601
ENSG00000221978	0.645830442187609	8.17980341899703	1.64874654468148e-07	6.26355320274324e-07
ENSG00000224870	0.39403311537133	3.87698613724557	0.00010671221477362	0.000259973524446671
ENSG00000242485	0.224029876884315	5.69598193636556	0.00829975739299807	0.014353807357777
ENSG00000272455	1.38734651893209	1.55582991730354	1.59233949432589e-14	1.75279496446646e-13
ENSG00000235098	0.563297099290966	4.58406987967561	0.00436282954313491	0.00793597271749703
ENSG00000225285	0.8555307045082	1.55032435198244	1.41579821790745e-06	4.68489052866789e-06
ENSG00000179403	0.46494605498884	6.75113435087864	0.00123981877678593	0.0025044463958625
ENSG00000215915	-0.0328310414282177	3.03305964690962	0.864047666618235	0.890465991622312
ENSG00000160072	0.540095083383767	5.24486993479001	1.24172518042314e-05	3.51982745160442e-05
ENSG00000197785	0.59694925076922	4.00428863340983	2.31114458043375e-07	8.62343675266227e-07
ENSG00000205090	-0.893364978721998	0.453279278004662	4.90150950778273e-10	2.74738907650244e-09
ENSG00000160075	-0.0603527320957302	6.72983555713187	0.422060797393172	0.485556027879477
ENSG00000228594	0.890258829060421	3.04704481721757	2.13061861332022e-06	6.83737976405588e-06
ENSG00000272106	-0.165743495357773	2.86418582902949	0.162411198984726	0.210985422685215
ENSG00000197530	-0.183701124686766	5.97106029003209	0.0718944090462845	0.101954453150558
ENSG00000189409	-0.807651906722291	2.13427750987683	0.000134061627593104	0.000322033246050205
ENSG00000248333	-0.0153835623379353	5.02817237335578	0.839993781433153	0.87005079016296
ENSG00000189339	0.262760145111747	6.55440758025928	0.00895541508466335	0.0153725825545418
ENSG00000269737	0.223755060920778	2.47887242146166	0.263014279905985	0.321392571108962
ENSG00000269227	0.182933680258114	0.470319892559423	0.423033388327349	0.48647992089462
ENSG00000008128	0.368221055212441	2.37002040334685	0.00543212281466511	0.00971562635539596
ENSG00000268575	0.553023177590112	1.40103039457201	0.000235374260705098	0.000541630415040632
ENSG00000227775	0.561447373422194	3.45120919171783	0.000136076094177868	0.000326442877470646
ENSG00000215790	0.456769354894853	2.32284362035928	0.00150582021903863	0.0029900585529571
ENSG00000008130	0.12105083324101	6.24478083197319	0.104243916680926	0.142121210872285
ENSG00000078369	-0.437934744445173	8.4695388634877	4.0479228186116e-09	1.97567350590594e-08
ENSG00000169885	1.29161161321777	-0.46203904809234	4.47160898700805e-08	1.85753004425154e-07
ENSG00000178821	1.07407946783993	0.315268487858371	4.10979482546251e-06	1.25530892882342e-05
ENSG00000142609	-0.50539368471762	3.00976079677783	0.335075991617338	0.397035601958281
ENSG00000187730	-0.05443574863475	1.06289469003339	0.829424838974737	0.861190592834582
ENSG00000067606	-0.828364649248616	5.239734462908	2.09560401645536e-08	9.13796159899538e-08
ENSG00000182873	-0.189251500191846	2.76714775259912	0.218510254162199	0.273771516518924
ENSG00000162585	0.0713853346819825	5.07546529480833	0.489190369999066	0.551416526928023
ENSG00000157933	-0.970475974463279	7.24796806065556	4.06662685109602e-23	1.91771048853681e-21
ENSG00000116151	0.326928544513087	3.23798073227164	0.0457035826076364	0.0678093996310788
ENSG00000269896	0.358135410978808	1.53336444955802	0.05816136556713	0.0841728746400169
ENSG00000272420	0.840460125459164	-0.789949746391966	0.000357106010566514	0.00079513093217274
ENSG00000157916	0.294505505346142	6.57288283586898	5.60967325760975e-06	1.67608302828268e-05
ENSG00000157911	0.135465772942021	3.65874990482477	0.133269740532298	0.17680992058865
ENSG00000149527	0.0821886149086183	3.61556189277206	0.76868813165979	0.809126323128819
ENSG00000157881	-0.183681028807645	4.47228312641946	0.0131856177812756	0.0218516643794792
ENSG00000272449	-0.125493778352422	0.569039810360639	0.494471582771854	0.556588761489538
ENSG00000238164	0.126284128741762	3.49045810258052	0.488794680148383	0.551094192922935
ENSG00000157873	-0.0965661613747475	6.74795860726053	0.481753012042015	0.544622186770514
ENSG00000228037	0.660800665151724	-0.522642681249451	0.0211024501999133	0.0336663851704303
ENSG00000157870	0.089503878256792	4.74115980121305	0.389278108347149	0.45237507482998
ENSG00000142606	-0.508233065471732	0.726337791644805	0.039348208651847	0.0592286950102619
ENSG00000215912	-0.0989111772564282	1.32711203041437	0.697512231035666	0.746249305494781
ENSG00000177133	0.0809859027465418	2.98232764178061	0.745885514259688	0.788968728725931
ENSG00000142611	-0.0119454650176012	4.48269623072075	0.958353228294658	0.966678558465846
ENSG00000130762	1.77439432881043	4.62091853591529	1.75001066237094e-29	2.47602417761209e-27
ENSG00000162591	-0.599613749169373	6.74575301202909	0.000528401857842151	0.00114165034654667
ENSG00000238260	1.52772979007476	-0.728301961364091	1.82520055523849e-10	1.08416481236505e-09
ENSG00000158109	-0.498379330126146	5.92370043525183	7.31232952674656e-10	3.97449642485962e-09
ENSG00000116213	0.346901597418576	4.60480161984103	4.07346296992462e-06	1.24515821063323e-05
ENSG00000078900	0.0198537112047036	2.72670066273841	0.946106523505055	0.956389772590603
ENSG00000227372	-0.126331119630313	5.37778282395421	0.100642389707961	0.137612644081353
ENSG00000235169	0.50823661054818	1.15849091246254	0.00599291637134435	0.0106314049623818
ENSG00000130764	-0.0572403100557314	5.53214431196876	0.367188872903989	0.430189378186752
ENSG00000272153	0.549091138482304	0.980330481010682	7.71569469286911e-06	2.26047237399807e-05
ENSG00000116198	-0.134750232017901	5.26558054946156	0.0342653440476511	0.0522749465805941
ENSG00000169598	0.249112806121897	3.24322049602571	0.024249444827541	0.0382106123727721
ENSG00000198912	0.180452326259038	4.42855003066288	0.0435442020857496	0.0649413122272179
ENSG00000236423	1.8217350790124	-0.50164983001932	2.58956798722688e-13	2.36033717311256e-12
