	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000172059	-1.2153509492589	5.22166595759389	-11.9960118263122	2.78190075940981e-19	1.07472316068815e-16	33.453479397945
ENSG00000100034	-1.34455075063477	6.00541531568749	-11.9853769552265	2.90905096399568e-19	1.09240206005183e-16	33.3974438706364
ENSG00000047648	-2.26341537006639	4.10782565885332	-11.9711912006636	3.08780755281461e-19	1.09240206005183e-16	33.3753573012605
ENSG00000096063	1.28739657244512	5.40688618179507	11.9771131729535	3.01187759265904e-19	1.09240206005183e-16	33.3668903844494
ENSG00000117318	-1.9279414727039	6.29308231135492	-11.9742004077012	3.0489865885036e-19	1.09240206005183e-16	33.354033076862
ENSG00000069702	-2.43445259929118	5.76021591990392	-11.9702882611713	3.09955286091664e-19	1.09240206005183e-16	33.3501714766818
ENSG00000133121	-1.6926305227352	5.10223917916285	-11.9653826407682	3.16415458348334e-19	1.09594312806201e-16	33.3338826810145
ENSG00000224081	1.75262392632861	1.4311414073046	11.9564339533886	3.28550980425862e-19	1.11868824504664e-16	33.1825438206325
ENSG00000135363	-1.6483933363619	4.58383200300115	-11.8785736550917	4.56014873179636e-19	1.52011723100628e-16	32.9836753735961
ENSG00000178726	-2.65105900706082	6.64130068698935	-11.875694942377	4.61581716817081e-19	1.52011723100628e-16	32.9472949066247
ENSG00000078596	-2.05672875370462	5.07934937417837	-11.8618982535329	4.89225869364572e-19	1.5851707241395e-16	32.9065643786255
ENSG00000197381	-1.73020933978338	6.29149825585349	-11.8370344036334	5.43320698926033e-19	1.73250309852779e-16	32.7784795830061
ENSG00000186642	-2.68901238054971	4.32866506112588	-11.8043876016782	6.23597917436865e-19	1.94015377494876e-16	32.6823645121469
ENSG00000198909	-1.05887327675083	6.11161759810256	-11.8028137136347	6.27756460608639e-19	1.94015377494876e-16	32.6306318160359
ENSG00000139567	-2.08891965774537	6.13231251606208	-11.7949098799736	6.49065768738392e-19	1.97561851942205e-16	32.6067525980258
ENSG00000170464	-1.11717700711837	4.28123090957104	-11.7803136227772	6.90350169631924e-19	2.04719588205167e-16	32.5760384730909
ENSG00000132622	-2.38358912718902	4.33512621312574	-11.7725602573301	7.13344177129855e-19	2.04719588205167e-16	32.5491613602666
