	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000227232	68.6538489002076	0.157727754309008	0.129166232725346	1.22112220029203	0.222039755288906	0.276760975615736
ENSG00000268903	123.482093019645	0.706945747797505	0.250856817626606	2.81812451615238	0.00483050729995543	0.00865038876348766
ENSG00000269981	111.315647229188	0.699133403346964	0.234109771620252	2.98634866246004	0.00282330542336622	0.00528439230876773
ENSG00000279457	165.700865776997	0.450426314728777	0.125198741998566	3.59769042035532	0.000321055433238974	0.000711022224488782
ENSG00000228463	11.8014254497808	1.05373285793589	0.333597381168749	3.15869643294012	0.00158476469761341	0.00310871379849193
ENSG00000237094	14.411728179478	0.921648922968494	0.258339350401184	3.56759015433473	0.000360279439207727	0.000790482050485367
ENSG00000225972	85.230027493147	0.128013448338872	0.241737860088991	0.529554817320492	0.596420628126368	0.653369723984656
ENSG00000225630	3589.96754008985	0.321631818891489	0.192759135316594	1.66856848762696	0.09520292839342	0.130610641842205
ENSG00000237973	4317.46572817055	0.556823391004414	0.252915046480649	2.20162223937522	0.0276920036561505	0.0428289061088927
ENSG00000229344	242.42738354852	0.277636685702831	0.272325352747108	1.01950363013265	0.307963930650794	0.368562337831753
ENSG00000248527	20443.8063341889	0.448881818963966	0.176867994437908	2.53794826130373	0.0111504467670351	0.0186434727509753
ENSG00000198744	283.009570380897	0.525832722518324	0.270363671035091	1.9449089461804	0.0517859381252108	0.0756107065191772
ENSG00000228327	31.8628826091009	0.405519094640999	0.168849485237394	2.40166023645769	0.0163208594024619	0.026421931222182
ENSG00000237491	62.3297452338105	1.71807336011651	0.174132386128187	9.86647801892378	5.81713245469147e-23	1.98404709477584e-21
ENSG00000228794	492.366002608977	-0.657646794306873	0.118584524650744	-5.54580621918232	2.92602748427988e-08	1.21699722839956e-07
ENSG00000225880	27.851324935931	1.36027418628965	0.162802761654449	8.35535080895529	6.52385396036378e-17	9.08860625587711e-16
ENSG00000230368	7.05322560623971	0.791984004401907	0.470323557768759	1.6839131090076	0.09219846251076	0.126930846585708
ENSG00000234711	3.45808691041508	2.01449404185273	0.581878493600277	3.46205275501486	0.000536072066041523	0.0011426155686693
ENSG00000272438	4.98244568302667	2.67354214555844	0.468176346072343	5.71054511400993	1.12614879046793e-08	4.97541303094575e-08
ENSG00000230699	47.4253108921324	1.58042057298177	0.509657734423011	3.10094494057071	0.00192904156145451	0.00372298164358341
ENSG00000223764	139.881530483084	0.116105266630104	0.207495577371542	0.559555379930848	0.575782747050823	0.634289296200043
ENSG00000187634	190.34178634684	-0.433703088536995	0.201066623846573	-2.15701184134836	0.0310047418177212	0.0474049972125886
ENSG00000188976	1626.00027603803	0.410206089860158	0.0918120898781932	4.4678875124657	7.89958240921627e-06	2.27193573398347e-05
ENSG00000187961	313.082379308241	0.776691037776836	0.136828858067094	5.67636863121365	1.37584123794192e-08	6.00099216034198e-08
ENSG00000187583	126.990825543517	2.54688298877463	0.213611345851443	11.92297618192	8.98407934778444e-33	1.34687440311673e-30
ENSG00000187642	40.5675963303235	2.50535150091179	0.276660432393678	9.05569140926794	1.35705290622653e-19	2.83387066873022e-18
ENSG00000272512	130.371825170195	-0.523933297148412	0.242254682106847	-2.1627375479056	0.0305613714157853	0.0468054730785783
ENSG00000188290	337.045532101968	-0.739928275348992	0.18954954254367	-3.90361414445789	9.47668245047357e-05	0.000229896236864586
ENSG00000187608	938.758378438202	0.868507362963244	0.212160531021411	4.09363305597871	4.24666196794806e-05	0.00010891253960693
ENSG00000188157	7286.72074131229	0.129714590878849	0.108771174426304	1.19254564973678	0.233047362369516	0.288779204456032
ENSG00000217801	92.4017815974244	1.60641421394151	0.212152191370926	7.57198972850986	3.67550533224404e-14	3.49773693128614e-13
ENSG00000237330	20.2979999093644	0.0967318286248821	0.229557065233766	0.421384671939313	0.673474210152194	0.724392180846413
ENSG00000131591	413.705016556397	0.387573033402844	0.108910242979301	3.5586463017671	0.000372771128755835	0.000815751547448362
ENSG00000198976	16.114385938573	1.74278719793283	0.346765492841753	5.02583801995591	5.01238838965738e-07	1.74090370608276e-06
ENSG00000272141	136.719075763742	2.07438101898705	0.284734382247	7.28531975175228	3.20908263948517e-13	2.6661398322836e-12
ENSG00000205231	25.7972250000186	-0.686269492943611	0.441232332953353	-1.55534724382078	0.119863391343746	0.160347317620331
ENSG00000162571	136.557174723257	-0.237665616643663	0.432924359733217	-0.548977231935206	0.583021074843086	0.640962642834934
ENSG00000186891	143.480247038122	1.12566933415799	0.249081856023017	4.51927471607553	6.20518361521983e-06	1.81159618727149e-05
ENSG00000186827	139.577830830836	-0.351730900326015	0.179527688356529	-1.95920141091274	0.0500892039753935	0.0733626435303062
ENSG00000078808	3525.23354927215	-0.0490192344595623	0.0866539543668778	-0.565689527012505	0.571604855912998	0.630585939068436
ENSG00000176022	534.347571518746	0.00197528829317067	0.104813634632756	0.0188457188808655	0.984964181895994	0.988260186300501
ENSG00000184163	36.747389607845	1.16764638941852	0.260013272249606	4.4907184133955	7.09833432674762e-06	2.05591750706506e-05
ENSG00000160087	1079.10631428924	0.0481975471327821	0.0730760272645464	0.659553466943401	0.509540424152613	0.571277909409635
ENSG00000230415	24.0929143708554	0.393112202196883	0.198227885998857	1.98313269707749	0.0473526091853334	0.0697511780264087
ENSG00000162572	194.144468031834	0.493267327172703	0.198091561203182	2.490097630493	0.0127708008952435	0.0211206568852019
ENSG00000131584	1756.59065584599	0.0724447024491746	0.119778230411414	0.604823616114061	0.545296200263033	0.605620044619862
