	Ctrl_mean	Treat_mean	theta	prob	log2FC	adj.p
ENSG00000227232	72.2158532562922	72.5629872940888	-0.00620507935632963	0.00254369670327625	-0.00691826944670374	0.997456303296724
ENSG00000268903	151.9271542964	100.25576111384	0.492154593780263	0.873537306562164	0.599694606821052	0.126462693437836
ENSG00000269981	136.193305119798	91.9691178162758	0.468711475193813	0.860697841252693	0.566434379245403	0.139302158747307
ENSG00000279457	193.71308555426	148.425297371834	0.39465966734452	0.80646968275595	0.384184409469593	0.19353031724405
ENSG00000228463	15.3176542789187	8.52278587002987	0.522517328464653	0.888130855596819	0.845798391211969	0.111869144403181
ENSG00000237094	18.3027363034688	10.9913932564743	0.465535038065158	0.858644916532273	0.735685078784775	0.141355083467727
ENSG00000225972	81.6420932545318	100.158512343668	-0.226762505872637	0.43496039712357	-0.294899961367741	0.56503960287643
ENSG00000225630	3836.27189329062	3687.10527412042	0.121572885668508	0.255499320900156	0.0572163652523063	0.744500679099844
ENSG00000237973	8898.01965801706	3427.28735516419	1.58854963558917	0.98970210736063	1.37641712852613	0.0102978926393695
ENSG00000229344	240.759602258328	274.62928672341	-0.154539133978206	0.244779927029365	-0.189892145553559	0.755220072970635
ENSG00000248527	22873.032225705	19663.7784750316	0.637974941813896	0.925475214022288	0.218107065180615	0.0745247859777116
ENSG00000198744	304.651310746942	288.1703802705	0.0692610179492907	0.118875067164607	0.0802368924538353	0.881124932835393
ENSG00000228327	34.8142727159428	32.0663885831287	0.0948907514903596	0.182792579092172	0.118617003137602	0.817207420907828
ENSG00000237491	89.8105909439894	33.5100296755439	1.11599487886876	0.975933608664538	1.42229262114072	0.0240663913354618
ENSG00000228794	473.158830201905	582.434098229246	-0.400827015470859	0.725863992587894	-0.299770270175231	0.274136007412106
ENSG00000225880	38.0435257922013	17.7379865775809	0.851386642295782	0.958156300387089	1.10080869831502	0.0418436996129115
ENSG00000230368	12.2303590354794	6.48188150916601	0.396946453597596	0.808641071623616	0.915982203277522	0.191358928376384
ENSG00000234711	5.25912289825856	1.96676463897852	0.66321768576718	0.931604681941167	1.4189978890743	0.0683953180588326
ENSG00000272438	7.76536162625575	2.05860999517683	0.901484008002814	0.961304672441178	1.91538257478332	0.0386953275588223
ENSG00000230699	63.2945487495342	31.9396497717668	0.488411718843231	0.871718093631916	0.986732759489354	0.128281906368084
ENSG00000223764	150.239306070375	143.347181592157	0.0607506391890738	0.0991033174259071	0.0677487651211627	0.900896682574093
ENSG00000187634	184.322531832708	222.67520367294	-0.261531806726594	0.512936216809226	-0.272708474908142	0.487063783190774
ENSG00000188976	1852.75975508243	1525.90279637198	0.65889027016877	0.930646873667915	0.280012759123814	0.0693531263320846
ENSG00000187961	377.210873109314	266.034383383983	0.579660829759772	0.909507408423932	0.503758544668719	0.0904925915760681
ENSG00000187583	198.730551323311	46.2502962739306	1.66326590721448	0.992127460173083	2.10327916609402	0.0078725398269166
ENSG00000187642	62.2042973179741	15.97438334632	1.14622091106117	0.977199662577687	1.96125401047525	0.0228003374223131
ENSG00000272512	130.260484154421	145.871079870725	-0.135714854319634	0.195068646357548	-0.163294391536483	0.804931353642452
ENSG00000188290	301.692944754007	425.763723585511	-0.542998319484104	0.834631949830756	-0.496972074143496	0.165368050169244
ENSG00000187608	1198.25011989069	710.196809001085	1.05564072893153	0.972862309582581	0.754638301020159	0.0271376904174194
ENSG00000188157	7736.1579875796	7597.97116441816	0.104167866265686	0.207582038612222	0.0260030210468311	0.792417961387778
ENSG00000217801	127.078717917104	57.3283732067502	0.845647164277546	0.957657600687687	1.14840119432434	0.0423423993123133
ENSG00000237330	20.7655071366111	22.3268325124521	-0.0749288437089266	0.0557441224441649	-0.104589486047802	0.944255877555835
ENSG00000131591	460.858624143837	401.437611279728	0.264681321595072	0.6264154407846	0.199148457173761	0.3735845592154
ENSG00000198976	22.8104546809323	9.18254026810303	0.684093584471406	0.935894932067301	1.31272998146598	0.0641050679326994
ENSG00000272141	202.51198285115	65.5348446636357	1.16148773658295	0.977931061630701	1.62767318431607	0.0220689383692988
ENSG00000205231	20.6212836474126	36.1423722624829	-0.405605192916958	0.73051888683625	-0.809557061565685	0.26948111316375
ENSG00000162571	121.984747747029	173.33891599785	-0.293379190320268	0.572894654702637	-0.506894814653883	0.427105345297363
ENSG00000186891	184.618368468173	104.83110819862	0.63376661148932	0.924398326915734	0.816479205795637	0.075601673084266
ENSG00000186827	131.377185643075	168.00030523671	-0.335801979786298	0.643499612153553	-0.354749088577697	0.356500387846447
ENSG00000078808	3653.08482608896	3799.97827286673	-0.20483675596841	0.379258294741536	-0.0568759156392796	0.620741705258464
ENSG00000176022	559.50763559164	567.003211861335	-0.0284824770278637	0.00246052807263297	-0.0191990877471284	0.997539471927367
ENSG00000184163	48.1865332166876	25.955282033719	0.600431386273258	0.915619605184239	0.892601845680868	0.0843803948157611
ENSG00000160087	1135.20711207162	1139.83258169624	-0.0125600592663928	0.000557420479263437	-0.00586640426743585	0.999442579520737
ENSG00000230415	26.8595438917542	23.3576562377351	0.152422180531588	0.345342576035987	0.201539288168269	0.654657423964013
ENSG00000162572	218.496166399166	185.231009286502	0.223755540170586	0.540552268967942	0.23828232874887	0.459447731032058
ENSG00000131584	1832.42081947361	1871.48822830547	-0.0712803479325534	0.0496711070834065	-0.0304351141131516	0.950328892916594
ENSG00000169972	222.8705052016	160.481379473802	0.501620456182547	0.878041362354768	0.473799789913678	0.121958637645232
ENSG00000127054	2683.82779042408	2449.89208460645	0.404420978462369	0.815373378660049	0.13157390173504	0.184626621339951
ENSG00000240731	134.531383613066	116.911823116879	0.201746346479589	0.485802225846774	0.202521930529865	0.514197774153226
