A	B	correlation	p-value
ME66	smoking_ever	-0.238729074895781	0.0391453450199158
ME64	smoking_ever	-0.140481258835987	0.229308727593997
ME85	smoking_ever	-0.169528627807418	0.145932503088581
ME40	smoking_ever	-0.146147538566723	0.210880882829432
ME30	smoking_ever	-0.325697929185935	0.00435213532524724
ME77	smoking_ever	-0.216697328210364	0.0618473096831237
ME60	smoking_ever	-0.188916453272546	0.104538455956593
ME98	smoking_ever	-0.0658281399783508	0.574714076771406
ME61	smoking_ever	-0.209434716641622	0.071333155622871
ME55	smoking_ever	-0.118044913137277	0.313137515730524
ME91	smoking_ever	-0.199495530040023	0.0861695649445033
ME19	smoking_ever	-0.305803775975227	0.00762816838784745
ME26	smoking_ever	-0.182530721540765	0.117018554686847
ME63	smoking_ever	-0.23576008977133	0.0417252887120369
ME65	smoking_ever	-0.199261793766576	0.0865457954235191
ME97	smoking_ever	-0.262232366879716	0.0230390302777582
ME3	smoking_ever	0.00506863744402661	0.965575040308872
ME29	smoking_ever	-0.155887093843679	0.181703662856198
ME92	smoking_ever	-0.0973485633328571	0.406041848315777
treat_Treat	smoking_ever	-0.131381092997526	0.261199020993764
group_treat	smoking_ever	-0.131381092997526	0.261199020993764
ME34	smoking_ever	-0.156881360876827	0.178898995205292
ME0	smoking_ever	-0.274461313110668	0.0171750786480507
ME22	smoking_ever	-0.323284630829576	0.00466794616151429
ME12	smoking_ever	-0.104457769278352	0.372457286168528
stage_3B	smoking_ever	-0.188460745359173	0.10539328197466
ME38	smoking_ever	-0.222756431575396	0.0547396843581244
ME96	smoking_ever	-0.216647774221943	0.0619083825509346
ME11	smoking_ever	-0.247228676589256	0.0324828324356857
ME16	smoking_ever	-0.252908359798259	0.0285832832130986
stage_1B	smoking_ever	-0.25708355455569	0.025975233313265
gender_woman	smoking_ever	-0.49966024500216	5.02415862091061e-06
smoking_never	smoking_ever	-0.742718274167675	2.38834421678614e-14
ME24	smoking_ever	0.0855965101610602	0.465281047668655
treat_Ctrl	smoking_ever	0.131381092997526	0.261199020993764
group_ctrl	smoking_ever	0.131381092997526	0.261199020993764
ME42	smoking_ever	-0.0529497973916908	0.651864508433212
ME14	smoking_ever	0.0306815261061885	0.793854634666008
ME79	smoking_ever	0.0918600514406949	0.433140463444801
ME78	smoking_ever	0.271548521005503	0.0184407255961966
ME47	smoking_ever	0.16169255972773	0.165771952400673
ME2	smoking_ever	0.128658143906937	0.27129837903668
ME70	smoking_ever	0.170381132747689	0.143886406954463
ME88	smoking_ever	0.295724420319332	0.0099972379784776
ME102	smoking_ever	0.179645024584404	0.123020920640264
ME13	smoking_ever	0.21246466400636	0.0672427171857152
ME75	smoking_ever	0.262177745592689	0.0230686311579703
ME81	smoking_ever	0.218006537760228	0.0602513803578274
ME94	smoking_ever	0.0449860621045683	0.701540855627262
ME31	smoking_ever	0.103817798151014	0.375409609681837
ME8	smoking_ever	0.153627956659011	0.188194811221001
ME59	smoking_ever	0.0790585745941859	0.500168806702352
age	smoking_ever	0.269317685884832	0.0194633427575033
stage_4	smoking_ever	0.298937734017998	0.00918045659115461
ME9	smoking_ever	0.221332368733001	0.0563471223418144
ME51	smoking_ever	0.334376001929856	0.00336741979400847
ME86	smoking_ever	0.407607013581769	0.000283784776936112
ME82	smoking_ever	0.184646908077987	0.112761841432525
ME87	smoking_ever	0.0515027747827702	0.66078682206659
ME99	smoking_ever	0.0300976174907303	0.797693595675638
ME33	smoking_ever	0.152802062350837	0.190609167343368
ME89	smoking_ever	0.15321563891871	0.189397372726954
ME20	smoking_ever	0.0123303919765987	0.916379975912376
ME73	smoking_ever	0.272290909685254	0.0181107875012303
ME39	smoking_ever	0.268590061544473	0.0198072105713812
ME50	smoking_ever	0.352683214830814	0.00191311259396768
ME93	smoking_ever	0.190760295061445	0.101134669861346
ME32	smoking_ever	0.154858759741728	0.184637895248597
ME45	smoking_ever	0.104508324482426	0.372224666281837
ME90	smoking_ever	-0.0885062579120572	0.450191130241491
stage_1A	smoking_ever	0.130779549089424	0.26340792061696
smoking_ever	ME95	0.412516347757925	0.000235344559731828
ME95	ME95	1	0
gender_man	ME95	0.902632031324312	1.93024240644425e-28
ME49	ME95	0.119993592191295	0.305159485864481
stage_2B	ME95	0.278385053460931	0.0155886102208967
stage_2A	ME95	-0.0309478457610185	0.792105308295981
ME53	ME95	0.0444051148697901	0.705217235306712
ME56	ME95	-0.0140545898085672	0.904738339448332
ME25	ME95	-0.111551228255372	0.340684243169298
ME57	ME95	-0.0500156110062452	0.67000608966352
ME69	ME95	-0.0552215957498201	0.637954976680607
ME74	ME95	0.00742898549416872	0.949561730358319
ME5	ME95	0.152579692469551	0.191263025351056
ME68	ME95	-0.0382024847819492	0.744874407056221
ME100	ME95	-0.00868860851741493	0.94102382214093
ME21	ME95	0.215722517517314	0.063057719217784
ME103	ME95	0.122521397743262	0.295009010351486
ME76	ME95	0.12854383758937	0.271727989969235
ME104	ME95	0.057974510115289	0.621265884424388
ME10	ME95	-0.0434780164035789	0.71109810276286
ME15	ME95	0.048835503235984	0.677356731313892
ME101	ME95	0.193441971340761	0.0963392692918902
smoking_current	ME95	0.345233379620538	0.00241779291181492
stage_3A	ME95	0.114888016496888	0.326344799761049
ME27	ME95	0.0198361325072263	0.86586174842696
ME44	ME95	-0.033061643211932	0.778257788018311
ME62	ME95	-0.183952325438932	0.114145612108434
ME80	ME95	-0.157900981500775	0.176055693649556
ME84	ME95	-0.186994148151685	0.1081812559399
ME48	ME95	-0.223277638413849	0.0541608058660081
ME58	ME95	-0.201393542958987	0.0831621582879064
ME46	ME95	-0.097707894232298	0.404303007627976
ME43	ME95	0.10988868676299	0.347974066581507
ME28	ME95	0.0830154153143809	0.478893710035812
ME71	ME95	0.0904968790946197	0.440026273308823
ME36	ME95	0.180002619139909	0.122264578286843
ME41	ME95	0.227509309282959	0.0496437574361883
ME18	ME95	0.181986753766667	0.118132458595416
ME54	ME95	0.216276045316711	0.0623680802353766
ME37	ME95	0.13776412103984	0.238532254341017
ME52	ME95	-0.168882549576815	0.147497623825705
ME23	ME95	0.051748968364193	0.659265416629925
ME83	ME95	0.0114563611565298	0.922288227942852
ME6	ME95	-0.0459088036146534	0.695715584567079
ME67	ME95	-0.0113282240765831	0.923154766628936
ME4	ME95	-0.0561775708521772	0.632138583563962
ME1	ME95	-0.102998710197723	0.379208824016282
ME72	ME95	-0.143641723702633	0.218896557047951
ME35	ME95	-0.0412984794244126	0.724989523944241
ME17	ME95	0.226507937626977	0.0506836862863871
ME7	ME95	0.211554989906716	0.0684504170594346
ME66	ME95	0.260498361209008	0.0239946537581522
ME64	ME95	0.217245329280802	0.0611751754732175
ME85	ME95	0.276343845329562	0.0163974105701677
ME40	ME95	0.251696427351031	0.0293804509546486
ME30	ME95	0.120336587548389	0.303769030955158
ME77	ME95	0.116857645697214	0.318063595075409
ME60	ME95	0.242307581355339	0.0362134413703144
ME98	ME95	0.297539540682701	0.00952840005599774
ME61	ME95	-0.0134144436277809	0.909058344865017
ME55	ME95	-0.0461546576669513	0.694166452237294
ME91	ME95	0.08057957580919	0.491933079057851
ME19	ME95	0.118628222744496	0.310735430436003
ME26	ME95	0.141425499376999	0.226162415493547
ME63	ME95	0.0891815007124272	0.446728568571939
ME65	ME95	-0.0518933545730811	0.658373792749859
ME97	ME95	0.00708050772914168	0.951924806321774
ME3	ME95	0.133327718904195	0.254137046602208
ME29	ME95	0.165136704020306	0.156820377442852
ME92	ME95	0.152499076136609	0.191500468910037
treat_Treat	ME95	0.0575780034535698	0.62365817281121
group_treat	ME95	0.0575780034535698	0.62365817281121
ME34	ME95	0.130575230334478	0.264161052821506
ME0	ME95	0.0922264790945205	0.431299988665502
ME22	ME95	0.00304316207235041	0.979327560962674
ME12	ME95	-0.107328042002209	0.35939022809942
stage_3B	ME95	-0.254995253927405	0.0272533449707712
ME38	ME95	-0.155645831426069	0.182389016003195
ME96	ME95	-0.157775548932843	0.176403682525952
ME11	ME95	-0.220223886631167	0.0576248010224103
ME16	ME95	-0.2083550756058	0.0728380426753889
stage_1B	ME95	-0.246637280562911	0.0329133774670006
gender_woman	ME95	-0.902632031324312	1.93024240644425e-28
smoking_never	ME95	-0.647488711992335	3.43323725549518e-10
ME24	ME95	-0.0483909334349216	0.680133729728148
treat_Ctrl	ME95	-0.0575780034535698	0.62365817281121
group_ctrl	ME95	-0.0575780034535698	0.62365817281121
ME42	ME95	-0.0200770378858352	0.86424806182876
ME14	ME95	-0.100095481001473	0.39286047581835
ME79	ME95	-0.0125942921439155	0.91459694392298
ME78	ME95	-0.121571772388015	0.298795967467419
ME47	ME95	-0.0843907555533038	0.471613815630463
ME2	ME95	-0.145361386107771	0.21337294122154
ME70	ME95	-0.149751218280727	0.199721286609479
ME88	ME95	-0.101318641660734	0.387073703595231
ME102	ME95	-0.0551721862454044	0.638256194537999
ME13	ME95	-0.105400949988216	0.36813196188392
ME75	ME95	-0.103159801967754	0.378459800459378
ME81	ME95	0.107693138021954	0.357748578949242
ME94	ME95	0.0600835797087332	0.608607276025938
ME31	ME95	0.0342209420304743	0.770692078717034
ME8	ME95	0.0681311661492924	0.561376226250609
ME59	ME95	0.0205521895975282	0.861066924618124
age	ME95	0.0150657202584567	0.89792042880325
stage_4	ME95	0.169086917738635	0.147001190527858
ME9	ME95	0.0585607628936932	0.61773595780939
ME51	ME95	-0.029858416872222	0.799267632349723
ME86	ME95	0.00141560845855959	0.990382834746776
ME82	ME95	-0.0985107740827886	0.400433587499408
ME87	ME95	-0.00611743023161662	0.958457659330669
ME99	ME95	-0.0952632281982605	0.416219009258202
ME33	ME95	-0.0844763558794975	0.47116270343353
ME89	ME95	-0.0763614163065278	0.514947272632395
ME20	ME95	-0.0933391411413963	0.425738656816246
ME73	ME95	-0.103882680078785	0.375109652287537
ME39	ME95	-0.139215686367577	0.23357340422755
ME50	ME95	-0.126090327261305	0.281059333486324
ME93	ME95	-0.0506074318362577	0.666331327724668
ME32	ME95	-0.153970154752492	0.187200956904236
ME45	ME95	-0.1024475225501	0.381778412695801
ME90	ME95	-0.147821502994736	0.205643358774251
stage_1A	ME95	0.0649268498997958	0.579973514361499
smoking_ever	gender_man	0.49966024500216	5.02415862091061e-06
ME95	gender_man	0.902632031324312	1.93024240644425e-28
gender_man	gender_man	1	0
ME49	gender_man	0.0715300919307966	0.541963713773969
stage_2B	gender_man	0.290042807863748	0.0115972414066888
stage_2A	gender_man	-0.0417740894920426	0.721950438733037
ME53	gender_man	0.130106168103475	0.265895543195377
ME56	gender_man	0.128058998539434	0.273555287110753
