age	treat_Ctrl	treat_Treat	group_ctrl	group_treat	gender_man	gender_woman	smoking_current	smoking_ever	smoking_never	stage_1A	stage_1B	stage_2A	stage_2B	stage_3A	stage_3B	stage_4
Cluster_0	-0.200971705461554	-0.823628633373198	0.823628633373198	-0.823628633373198	0.823628633373198	-0.0712231465312192	0.0712231465312192	0.203701510858711	-0.274461313110668	0.123464096196181	-0.0997268833185187	0.126617236744674	-0.0449231198208163	0.0427027325820152	0.0149174101752688	-0.0557583089079157	-0.0638028496828108
Cluster_1	-0.0638629758556802	-0.248425478363567	0.248425478363567	-0.248425478363567	0.248425478363567	0.0854399563544942	-0.0854399563544942	0.298174206477575	-0.114436735718411	-0.0997358131653314	-0.0597410372466232	-0.110927271800181	0.0024286880935939	-0.0323692938726211	0.340282832092035	-0.0262221335243967	-0.0168766224781891
Cluster_2	0.069247120529264	0.830625140669041	-0.830625140669041	0.830625140669041	-0.830625140669041	-0.0316042432024699	0.0316042432024699	-0.204433676363411	0.128658143906937	0.0193799914351991	0.285997289650599	-0.129816595927026	-0.0203892647240722	-0.133420873717277	-0.0490536465078156	0.0508607049934863	-0.0442345031832391
Cluster_3	-0.11899074659095	-0.655868187287568	0.655868187287568	-0.655868187287568	0.655868187287568	0.184210289051511	-0.184210289051511	0.270780801389931	0.00506863744402661	-0.196964941537687	-0.0779787745377726	-0.190161428016978	0.187001143399991	0.0920801805558464	0.117754850808949	-0.033053619393164	0.129919706795796
Cluster_4	-0.120327965321984	-0.376414606680763	0.376414606680763	-0.376414606680763	0.376414606680763	-0.119877892893718	0.119877892893718	0.0227992788816553	-0.149900358583798	0.130156817661579	-0.0581553467087536	0.127743784607001	-0.0332921814324755	-0.0427827641259714	-0.0178918244084028	-0.0188909104589729	-0.03385695634349
Cluster_5	-0.049838784108375	-0.296685820321582	0.296685820321582	-0.296685820321582	0.296685820321582	0.140971284259336	-0.140971284259336	0.286880773537048	-0.0516041864965691	-0.153060983497676	-0.0453292722982228	-0.149811687138099	0.464727524182967	-0.0265055954638642	-0.0148403393117578	-0.0221694332493953	0.0258534919590408
Cluster_6	-0.123268625850099	-0.413289249269174	0.413289249269174	-0.413289249269174	0.413289249269174	-0.116156930351366	0.116156930351366	0.0124387568299124	-0.139534213397521	0.127384864051646	0.146189706041663	-0.0698253943486838	-0.0432958169263934	-0.003288958440903	-0.0299443014141419	-0.0238167000557302	-0.0152285048172672
Cluster_7	-0.292339633203115	-0.746080082432001	0.746080082432001	-0.746080082432001	0.746080082432001	0.0172641878124124	-0.0172641878124124	0.262961785427045	-0.264788919407249	0.0719995516584811	0.0110959205584116	0.0340187132764091	0.00911110825100906	0.0731472732977134	-0.0675242563386573	-0.0398237024026731	-0.0776180128713403
Cluster_8	0.0346825913573596	0.436047520272012	-0.436047520272012	0.436047520272012	-0.436047520272012	0.129823333295441	-0.129823333295441	-0.0516215036074486	0.153627956659011	-0.113356952930916	-0.00547606856187489	-0.0174018287229826	-0.0591409562924719	0.13821926602511	-0.0978617636504114	-0.00874257392980672	0.0530412533863323
Cluster_9	0.101148792188895	-0.216899168394907	0.216899168394907	-0.216899168394907	0.216899168394907	0.123716746137311	-0.123716746137311	-0.0892309796690344	0.221332368733001	-0.152776419795431	-0.0936336552967958	-0.119497993327165	-0.0580695300545361	0.067645251638614	-0.0312570365907666	-0.0280515254800248	0.472162464131456
